Ano;Mês;Table Names;Taxa SELIC % retorno mensal;Taxa SELIC % a.a.(4);Meta SELIC % a.a. (1)(6);Corr Retorno Mensal(%);% Valor DI;% Valor IPCA;Fechamento;Variação;Volume
2011;JUN;SMAL11;;;;-5,32;;;60473,2;-75,88;5894892000
2021;MAR;SMAL11;;;;9,76;;;130622,8;244,26;7009320000
2019;NOV;SMAL11;;;;10,28;;;107463,6;248,7;2823861200
2015;AGO;SMAL11;;;;-18,9;;;38633,78;-178,82;0
2011;JAN;SMAL11;;;;-17,1;;;59419,72;-239,36;2775228200
2023;MAR;SMAL11;;;;-1,52;;;51758,88;-32,24;0
2016;SET;SMAL11;;;;0,640000000;;;51994,52;4,77;3870214100
2017;MAI;SMAL11;;;;-0,780000000;;;63546,36;-29,06;4812961300
2017;MAR;SMAL11;;;;-3,92;;;60810,61;-54,56;4412880900
2014;FEV;SMAL11;;;;-1,76;;;49371,82;-23,84;5154076200
2016;DEZ;SMAL11;;;;-0,870000000;;;48658,96;-13,57;3218326800
2013;JUL;SMAL11;;;;1,55;;;78315,87;16,06;15018087700
2021;JUL;SMAL11;;;;-5,82;;;71131,73;-182,28;2283669400
2017;OUT;SMAL11;;;;-2,82;;;72210,06;-47,94;3891973200
2011;OUT;SMAL11;;;;13,74;;;49857,74;158,82;3609865200
2022;MAR;SMAL11;;;;8,89;;;54151,86;204,34;5639947800
2013;FEV;SMAL11;;;;0,38;;;64792,8;5,74;5207066800
2021;SET;SMAL11;;;;-6,31;;;60531,56;-183,2;3907003000
2023;ABR;SMAL11;;;;2,12;;;36444,89;34,7;0
2012;AGO;SMAL11;;;;15,44;;;63467,32;209,88;7831740000
2018;JUL;SMAL11;;;;10,06;;;69496,82;153,74;2961444200
2019;MAI;SMAL11;;;;4,06;;;90567,52;72,36;2291627000
2019;FEV;SMAL11;;;;-3,44;;;83629,3;-70,37;5318595600
2013;NOV;SMAL11;;;;-1,7;;;55262,66;-25,94;6578835200
2011;FEV;SMAL11;;;;3,61;;;56735,61;43,38;2927001800
2016;JUL;SMAL11;;;;27,54;;;45066,86;290,56;5791456200
2020;FEV;SMAL11;;;;-17,52;;;114013,94;-506,34;3717331800
2012;JUN;SMAL11;;;;2,08;;;56281,4;21,64;5176352800
2014;SET;SMAL11;;;;-19,24;;;55639,44;-248,04;3788694200
2012;JUL;SMAL11;;;;4,68;;;58206,84;57,01;5135785100
2018;FEV;SMAL11;;;;-0,450000000;;;77028,24;-10,93;3081867900
2021;ABR;SMAL11;;;;8,68;;;122169,58;244,94;6844186200
2019;DEZ;SMAL11;;;;23,94;;;118557,92;636,12;3233610400
2012;NOV;SMAL11;;;;-1,1;;;66791,42;-17,92;5288972000
2022;OUT;SMAL11;;;;7,44;;;47615,83;158,85;893389700
2013;OUT;SMAL11;;;;-1,46;;;63881,41;-21,13;18937127400
2018;AGO;SMAL11;;;;-9,81;;;73503,83;-158,67;4353087700
2013;JUN;SMAL11;;;;-20,7;;;54272,68;-291,2;13537297400
2016;NOV;SMAL11;;;;-17,12;;;49713,6;-207;4213642600
2018;JAN;SMAL11;;;;8,66;;;81324,94;144,02;3477040600
2020;JUN;SMAL11;;;;28,1;;;97742,86;567,96;8590512600
2019;ABR;SMAL11;;;;3,4;;;85432,78;64,22;2196248400
2020;OUT;SMAL11;;;;-3,67;;;107403,61;-95,57;5907400300
2017;FEV;SMAL11;;;;11,2;;;56833,68;141,22;3854185600
2011;MAR;SMAL11;;;;12,3;;;62408,52;166,66;2807158400
2015;SET;SMAL11;;;;-4,08;;;39727,59;-38,67;0
2012;ABR;SMAL11;;;;0,37;;;61774,55;3,630000000;3719470500
2013;DEZ;SMAL11;;;;-3,4;;;59527,36;-46,3;4804239800
2022;JUL;SMAL11;;;;5,23;;;40561,42;97,95;2821959600
